algorithm,label,exploration,seed,mean_reward,std_reward,max_reward,min_reward,final_reward,conv_episode,n_episodes,train_time_s,ram_peak_mb
SAC,SAC-1,0.01,1,-1459.1732019019992,61.01047173072959,-1339.523316010121,-1524.292105460858,-1517.536642,,10,7.153762750327587,312.96875
SAC,SAC-1,0.01,2,-1372.4699508997237,70.97927462138506,-1255.8725972062557,-1512.5980393156324,-1350.188767,,10,5.162020625546575,322.375
SAC,SAC-2,0.05,1,-1482.771244421027,61.75352867193741,-1366.5086729897628,-1554.7077184613668,-1563.867284,,10,5.232403458096087,330.25
SAC,SAC-2,0.05,2,-1456.0496263673133,62.963520092337745,-1328.784934819863,-1567.875711561869,-1465.872078,,10,5.236258666962385,335.875
SAC,SAC-3,0.1,1,-1566.7928818608468,78.52092657151444,-1421.405393192618,-1664.5808879378176,-1740.629138,,10,5.185459833592176,335.890625
SAC,SAC-3,0.1,2,-1520.0213551095105,64.24646418505691,-1386.1643384788347,-1592.8046738372132,-1522.708736,,10,5.182319040410221,273.703125
SAC,SAC-4,0.2,1,-1681.0725615276237,99.2713275313391,-1508.6756052621781,-1821.0965825880853,-1739.143068,,10,5.191932125017047,278.796875
SAC,SAC-4,0.2,2,-1679.1300680967702,87.35038883103373,-1514.4751177944015,-1789.4949657332131,-1613.151229,,10,5.18004116602242,278.796875
SAC,SAC-5,auto,1,-1692.6731087807307,138.98125646375763,-1469.5247531329883,-1884.1317226824797,-1719.566717,,10,5.473309790715575,266.890625
SAC,SAC-5,auto,2,-1668.6462808588003,134.7759810405192,-1426.3388459160526,-1872.1675136702424,-1507.263106,,10,5.383954499848187,271.703125
TD3,TD3-1,0.05,1,-1439.6595722426973,103.33967524664074,-1150.9047113412676,-1519.9355821504366,-1493.355862,,10,4.474531250074506,278.34375
TD3,TD3-1,0.05,2,-1480.5645658817252,45.266040660834065,-1365.5372857920436,-1535.3698741936366,-1454.169103,,10,4.47864112444222,284.96875
TD3,TD3-2,0.1,1,-1448.1008244312884,76.34380820221136,-1256.713637187877,-1521.2238745352706,-1528.110978,,10,4.488824042491615,285.734375
TD3,TD3-2,0.1,2,-1509.3101468624586,49.899131083171824,-1367.8162226871348,-1560.8417198689465,-1517.796057,,10,5.8051527086645365,195.453125
TD3,TD3-3,0.2,1,-1446.3734138407924,83.219140258274,-1212.5620771645738,-1515.9414617095422,-1562.844785,,10,6.12592108361423,205.484375
TD3,TD3-3,0.2,2,-1476.701611299812,47.52843756990413,-1345.6706064120258,-1528.1343024025887,-1492.17045,,10,6.561144707724452,211.5
TD3,TD3-4,0.3,1,-1433.7705057740543,118.52311131404291,-1097.4386983935772,-1517.409043463432,-1538.997355,,10,7.1427608747035265,219.640625
TD3,TD3-4,0.3,2,-1594.788525633071,55.24491204846791,-1464.6509339083498,-1659.2076188928904,-1621.688869,,10,6.745075166225433,222.65625
